Customer,Stock Item,Quantity
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) 3XL",84
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) 3XS",264
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) 5XL",240
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) 7XL",288
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) L",288
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) M",24
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) S",60
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) XL",132
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) XS",108
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (Black) XXS",96
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) 3XL",96
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) 3XS",180
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) 5XL",60
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) 6XL",108
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) 7XL",36
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) S",192
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) XL",120
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) XS",12
"Tailspin Toys (Absecon, NJ)","""The Gu"" red shirt XML tag t-shirt (White) XXL",48
"Tailspin Toys (Absecon, NJ)",10 mm Anti static bubble wrap (Blue) 10m,90
"Tailspin Toys (Absecon, NJ)",10 mm Anti static bubble wrap (Blue) 20m,120
"Tailspin Toys (Absecon, NJ)",10 mm Anti static bubble wrap (Blue) 50m,10
"Tailspin Toys (Absecon, NJ)",10 mm Double sided bubble wrap 50m,210
"Tailspin Toys (Absecon, NJ)",20 mm Anti static bubble wrap (Blue) 10m,140
"Tailspin Toys (Absecon, NJ)",20 mm Anti static bubble wrap (Blue) 20m,90
"Tailspin Toys (Absecon, NJ)",20 mm Anti static bubble wrap (Blue) 50m,60
"Tailspin Toys (Absecon, NJ)",20 mm Double sided bubble wrap 10m,70
